rainfall,20210804-0500,20210804-0500,20210804-0500,20210804-0500,20210804-0530,20210804-0530,20210804-0530,20210804-0530,20210806-0600,20210806-0600,20210806-0600,20210806-0600,20210806-0630,20210806-0630,20210806-0630,20210806-0630,20210806-0700,20210919-0700,20210919-0700,20210919-0700,20210919-0730,20210919-0730,20210919-0730,20210919-0800,20210919-0800,20210920-0800,20210920-0800,20210920-0830,20210920-0830,20210920-0830,20210920-0830,20210921-0500,20210921-0500,20210921-0500,20210921-0500,20210921-0530,20210921-0530,20210921-0530,20210921-0530,20211006-0600,20211006-0600,20211006-0600,20211006-0600,20211006-0630,20211006-0630,20211006-0630,20211006-0630,20210928-0500,20210928-0500,20210928-0500,20210928-0500,20210928-0530,20210928-0530,20210928-0530,20210928-0530,20210928-0530,20210928-0530,
r1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
r2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
r3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
r4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
r5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
r6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
r7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.32614255,3.66489768,18.97565269,18.58208656,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
r8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.746353149,9.854014397,36.62709045,24.80863953,14.15541744,23.03309631,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
r9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1.237952232,7.888271809,69.01397705,14.29946709,7.43298769,1.904725194,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
r10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.598486185,0,10.27720737,24.9100914,12.81963158,15.41939163,16.20330048,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
r11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.017289639,3.149351597,0.192815423,19.65092087,28.15744591,27.12288284,27.76629639,22.1699028,20.45249939,29.40347672,35.95686722,-999,45.84142685,-999,-999,-999,-999,-999,-999
r12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.046111107,6.756660461,4.90498209,10.44717789,25.34030533,27.14192581,16.23887253,20.30045128,17.69574356,22.89019966,27.25381279,39.81251907,41.91803741,-999,-999,-999,-999,-999,-999
r13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,31.53578568,4.553411484,10.47849464,10.46413708,8.729569435,6.157360554,17.88771057,23.48514557,17.57126236,20.63027763,-999,-999,-999,-999,-999,-999,-999,-999
r14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,23.06295586,30.56293869,25.6869297,9.525135994,6.210784435,6.003276348,22.76849556,13.02184963,10.15454388,14.14275455,20.13856697,17.80170441,1.618146658,-999,-999,-999,-999,-999,-999,-999
r15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10.22462463,14.75180149,11.84881306,9.78344059,11.97039223,27.88737106,21.25922394,16.41732025,38.57504654,22.17228317,10.28082561,8.278788567,16.75094986,9.00382328,-999,-999,-999,-999,-999,-999
r16,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.896483541,3.157040596,2.702297688,7.048478603,8.229937553,14.07219601,20.2025795,11.57563877,19.32526779,27.42412949,25.09513855,3.672888994,13.17141628,11.69743061,11.80349445,7.865094185,-999,-999,-999,-999
r17,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.186824337,5.363526344,9.480695724,9.028469086,8.018480301,8.688855171,14.15894127,16.26047325,34.50254822,20.9590435,31.54828262,21.01752853,26.36169243,39.0879631,22.59318161,20.58875656,4.827450275,-999,-999,-999,-999
r18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.23942566,8.317296982,0.676375985,3.933653116,12.98122501,19.52176857,23.50426674,27.45311165,34.11330414,20.52383423,24.85202026,38.60798264,29.19431877,63.2081871,23.20000076,6.189549446,2.152661324,-999,-999,-999,-999
r19,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14.13334751,10.60656261,7.133996487,27.95450211,11.91948032,19.22038269,14.11616993,4.712584972,26.37224007,34.46376801,20.32109451,29.11361504,17.27132797,32,4.806879997,0.944654346,3.899892569,-999,-999,-999,-999
r20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.135017633,2.736838579,0.448911488,4.600646019,11.08474636,19.63675308,7.452745438,6.465793133,8.827954292,14.25498581,17.35831642,12.452075,16.10672379,31.86367989,18.52689171,21.40997696,8.829933167,2.818496466,-999,-999,-999,-999
r21,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0.127798036,0,0,0,0.26932463,1.854915142,4.045656204,4.34591341,2.132956266,1.849480033,8.781237602,7.533279419,6.503666878,24.7671032,3.55862236,1.195762634,0,0,-999,-999,-999,-999
r22,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,0,0,0,0.143571541,7.277720451,4.89662838,1.065932155,1.642436743,3.972754002,12.09934425,4.687874317,6.41625309,0.121078357,2.145172358,0.200125292,0,-999,-999,-999,-999
r23,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,0,0,0.297536016,0,3.072825909,3.027523041,0.878995359,0.830872715,0,2.046209812,0,0,0,0,0,0,-999,-999,-999,-999
r24,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,0,1.339389801,1.283050656,1.907865047,0,0.524390757,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999
r25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,0,0,1.326138854,1.384203553,0.951167226,0,0.178901538,0.291923523,0.102745786,0,0,0,0,0,0,0,0,0,-999,-999,-999
